日期,0:00储电量（kWh）,24:00储电量（kWh）,计划购电量（kWh）,紧急购电量（kWh）,充电量（kWh）,放电量（kWh）,弃电量（kWh）,计划购电费（元）,紧急购电费（元）,总购电费（元）
2025-05-12,6000.0,6000.0,64760.51986863296,0.0,17044.99700928496,13806.44757752082,9590.775203535492,39503.78419819538,0.0,39503.78419819538
2025-05-13,6000.0,6000.0,62132.27092518106,0.0,18472.358064420332,14962.610032180466,5493.310126274531,37876.71147561458,0.0,37876.71147561458
2025-05-14,6000.0,6000.0,65264.70675805381,0.0,16843.990946647944,13643.632666784835,9050.19969485738,40070.31165594644,0.0,40070.31165594644
2025-05-15,6000.0,6000.0,60827.96892566884,0.0,18369.841954644035,14879.571983261667,4572.640670953136,37606.68126686233,0.0,37606.68126686233
2025-05-16,6000.0,6000.0,29120.804263737933,0.0,15975.083863406613,12939.817929359357,23370.031796357343,15261.59867009676,0.0,15261.59867009676
2025-05-17,6000.0,6000.0,29116.450700791793,0.0,16099.292891329069,13040.42724197655,15608.78596810594,15453.102293299291,0.0,15453.102293299291
2025-05-18,6000.0,6000.0,58961.51129164335,0.0,17880.98973245963,14483.601683292301,1887.9551424760361,37042.863328293875,0.0,37042.863328293875
2025-05-19,6000.0,6000.0,58932.509266729074,67.00333333333344,18104.179255481115,14664.385196939702,8044.501991520991,36451.17548430337,451.9039816666674,36903.07946597004
2025-05-20,6000.0,6000.0,55280.76368440183,3038.423978072952,18341.943924405223,14856.974578768226,306.8235001711212,34724.92378744037,6509.152584501621,41234.07637194199
2025-05-21,6000.0,6000.0,59488.02256764034,0.0,16823.35283641156,13626.915797493362,4928.970245388816,37198.23245037599,0.0,37198.23245037599
2025-05-22,6000.0,6000.0,55537.899817211386,2.57000000000005,18267.49198400382,14796.668507043092,1253.015523583997,34135.136978137656,17.333365000000338,34152.470343137655
2025-05-23,6000.0,6000.0,27289.457824640405,0.0,16269.873802540884,13178.597780058117,17777.232918824306,13977.473186274405,0.0,13977.473186274405
2025-05-24,6000.0,6000.0,28146.04161802461,14.30812294656122,15653.469551467077,12679.31033668833,21431.689142859093,14776.62685191995,30.370213584938075,14806.997065504887
2025-05-25,6000.0,6000.0,55446.023836593646,0.0,16953.26188944236,13732.142130448312,3679.8938942662603,34843.17619375508,0.0,34843.17619375508
2025-05-26,6000.0,6000.0,53838.832357727726,4579.412244152834,19151.093460924792,15512.385703349082,199.7038943048516,33650.20831034146,9968.703823078431,43618.91213341989
2025-05-27,6000.0,6000.0,56814.29534316013,0.0,17682.308095191638,14322.66955710523,4064.289505073718,35319.273694796284,0.0,35319.273694796284
2025-05-28,6000.0,6000.0,54678.24542559066,1426.3703600495394,18213.82426188238,14753.197652124723,370.16507588254456,34609.48079978899,3034.857109667244,37644.33790945623
2025-05-29,6000.0,6000.0,53436.24152343497,4509.390726058063,19632.59751528278,15902.403987379053,105.31522158930795,32711.378494662524,11779.627013504338,44491.00550816686
2025-05-30,6000.0,6000.0,26807.68494842031,491.6419181589772,16123.44444642819,13059.990001606839,17639.639155091263,13568.851287955278,2239.404534296158,15808.255822251436
2025-05-31,6000.0,6000.0,27584.408647297045,530.5754578614442,15957.261221718663,12925.38158959212,16693.922923031947,14339.10767759043,1144.1070402898188,15483.214717880248
2025-06-01,6000.0,6000.0,55943.79781185379,19414.190106458962,21753.48220164609,17620.320583333334,0.0,34881.656105703485,55916.71856987363,90798.37467557711
2025-06-02,6000.0,6000.0,64759.879916937265,9278.489219645142,21952.153940699056,17781.244691966232,1226.6524378495806,39352.154635440325,31939.996483921095,71292.15111936143
2025-06-03,6000.0,6000.0,64773.10176745804,8074.548834217649,21989.71946502058,17811.67276666667,477.23706998845256,39877.18196062895,24760.1740925122,64637.35605314115
2025-06-04,6000.0,6000.0,67194.36761754827,6447.448082800534,20588.3748099034,16676.583596021752,84.7636698004992,41761.94684146765,17464.607335902925,59226.55417737058
2025-06-05,6000.0,6000.0,72130.05329055287,3382.665450274588,21102.269207369158,17092.838057969013,353.9695747606596,45146.473480220986,9623.973248041573,54770.446728262556
2025-06-06,6000.0,6000.0,32285.946645575812,3822.1798989795316,16225.595480738248,13142.732339397979,2170.2680032150784,17653.13991926243,15730.482238225979,33383.62215748841
2025-06-07,6000.0,6000.0,34395.73712596058,1395.0927153532891,16744.21797929075,13562.816563225504,1482.915258581952,19017.69059242284,5855.255414146188,24872.94600656903
2025-06-08,6000.0,6000.0,101219.36355385788,0.0,17197.215592103876,13929.744629604143,32766.969324691483,65415.186300259455,0.0,65415.186300259455
2025-06-09,6000.0,6000.0,91759.21608443139,0.0,19879.036994057547,16102.01996518661,17049.486322227134,59243.90045388539,0.0,59243.90045388539
2025-06-10,6000.0,6000.0,88660.4987395543,0.0,20681.79350277568,16752.252737248302,13112.513740693592,56224.60899598728,0.0,56224.60899598728
2025-06-11,6000.0,6000.0,87970.96910807332,0.0,22662.057408639594,18356.26650099807,7580.7318837651255,55552.70676667268,0.0,55552.70676667268
2025-06-12,6000.0,6000.0,88549.6348478158,0.0,20928.459663619793,16952.05232753203,12120.836078394716,56564.379987156826,0.0,56564.379987156826
2025-06-13,6000.0,6000.0,43195.88025410996,0.0,15853.278513290743,12841.155595765505,11838.44363658472,25792.16838814193,0.0,25792.16838814193
2025-06-14,6000.0,6000.0,39653.94901890542,0.0,15399.628328949431,12473.698946449033,10534.676886405023,23437.312515839763,0.0,23437.312515839763
2025-06-15,6000.0,6000.0,83588.26534781873,0.0,19281.418759255637,15617.949194997067,9297.82145022682,53262.57730758422,0.0,53262.57730758422
2025-06-16,6000.0,6000.0,88464.97334056131,0.0,19629.789286871724,15900.129322366094,12041.26055938901,57119.418420223345,0.0,57119.418420223345
2025-06-17,6000.0,6000.0,85463.16478565488,0.0,21530.548819164505,17439.744543523248,6735.349293346961,54308.845750266235,0.0,54308.845750266235
2025-06-18,6000.0,6000.0,85490.31560500365,0.0,19033.91381598884,15417.470190950962,10945.48107996576,54843.04028952759,0.0,54843.04028952759
2025-06-19,6000.0,6000.0,85522.3885441118,4.961200057099404,19107.161587132192,15476.800885577079,13637.484842613801,54531.247095042796,33.445930184935634,54564.69302522773
2025-06-20,6000.0,6000.0,37179.88349890171,0.0,15419.782698435441,12490.02398573271,11849.543936198981,21816.32789562425,0.0,21816.32789562425
2025-06-21,6000.0,6000.0,36357.815619848494,0.0,15336.797205314973,12422.805736305127,14109.083750838647,20972.57944191507,0.0,20972.57944191507
2025-06-22,6000.0,6000.0,74786.73688024518,0.0,20783.58060182503,16834.700287478274,3380.5154658984357,46439.65784067781,0.0,46439.65784067781
2025-06-23,6000.0,6000.0,79897.07608020445,0.0,20080.103836298247,16264.884107401585,9020.570351307795,50225.49154000159,0.0,50225.49154000159
2025-06-24,6000.0,6000.0,74970.09926676042,6337.621885479103,23932.493055206323,19385.319374717124,491.7552217503297,46455.169718120735,20512.07250379641,66967.24222191714
2025-06-25,6000.0,6000.0,76369.58696753053,0.0,21700.454826567853,17577.36840951996,1809.079183815977,47732.17241169726,0.0,47732.17241169726
2025-06-26,6000.0,6000.0,78659.38039724535,12.853725264923014,20404.54598516428,16527.682247983066,7247.986551995736,49421.22692655521,86.91046337877697,49508.13738993399
2025-06-27,6000.0,6000.0,33582.03471608978,55.408155523131406,16261.180770644394,13171.556424221963,10776.17265852381,19135.55086419808,111.70710102606355,19247.257965224144
2025-06-28,6000.0,6000.0,32692.95211854666,66.5803202601726,16642.234199799394,13480.209701837503,7820.581824178279,18131.732095382387,136.4098292552616,18268.14192463765
2025-06-29,6000.0,6000.0,71164.16075527863,2652.8910068604846,22585.781132655582,18294.48271745102,257.984813601228,43523.61542123355,7314.229392236497,50837.84481347005
2025-06-30,6000.0,6000.0,78009.21850360425,70.28013591831322,20994.8382456528,17005.818978978772,4212.795389515203,48838.81364952396,431.9135819207238,49270.72723144468
2025-07-01,6000.0,6000.0,80560.01587210534,3321.623490618026,21837.677985025806,17688.5191678709,865.9365122351498,51391.15425438065,11469.763845921145,62860.918100301795
2025-07-02,6000.0,6000.0,74588.59416061128,4435.166051706726,20995.549607634108,17006.395182183624,2129.839420200856,46266.812499266554,19958.47539686297,66225.28789612952
2025-07-03,6000.0,6000.0,75781.878891953,8191.675164853735,22104.868294133554,17904.943318248177,13.21014758804381,47429.70624552029,26504.17079771236,73933.87704323264
2025-07-04,6000.0,6000.0,34540.079459447305,7523.218453647734,16063.015483320913,13011.042541489936,10130.457504597396,19612.673369537293,25425.118715759018,45037.792085296314
2025-07-05,6000.0,6000.0,34409.59155968983,7784.178373643498,15999.999999999995,12959.999999999998,10363.689966666669,19032.16911852815,28416.968050797586,47449.13716932574
2025-07-06,6000.0,6000.0,72589.41439413166,12507.970400556553,23247.019906512825,18830.08612427539,886.4694624507893,44642.91797093539,44252.670612851616,88895.588583787
2025-07-07,6000.0,6000.0,78236.14899203513,2274.976202341122,20774.557160700948,16827.391300167776,3154.4765671764203,48966.56851284611,10592.403765471136,59558.97227831725
2025-07-08,6000.0,6000.0,88755.61746088689,0.0,20464.062343911144,16575.89049856802,9296.058598877113,57627.811379965075,0.0,57627.811379965075
2025-07-09,6000.0,6000.0,82880.50456412227,0.0,18152.567070880497,14703.579327413207,5372.791803988325,53522.243409832,0.0,53522.243409832
2025-07-10,6000.0,6000.0,91203.14060086333,0.0,20084.31420425319,16268.294505445087,14533.497518721904,57983.159569142554,0.0,57983.159569142554
2025-07-11,6000.0,6000.0,49046.082813323315,0.0,15818.270027238532,12812.798722063211,13521.83435814799,29788.016063771694,0.0,29788.016063771694
2025-07-12,6000.0,6000.0,49244.2084211023,0.0,16640.070471843184,13478.45708219298,14998.351698118764,29858.422329323155,0.0,29858.422329323155
2025-07-13,6000.0,6000.0,92124.18998113512,0.0,18744.544699435733,15183.081206542949,19295.006088242342,59169.88912151416,0.0,59169.88912151416
2025-07-14,6000.0,6000.0,82385.67161462345,0.0,18566.214594663616,15038.633821677524,7050.4116249707085,52101.838892915344,0.0,52101.838892915344
2025-07-15,6000.0,6000.0,92492.58727106507,0.0,18717.673128130173,15161.315233785444,16187.178793387024,60335.231955810166,0.0,60335.231955810166
2025-07-16,6000.0,6000.0,86021.77223988186,0.0,19040.40608259996,15422.728926905967,10269.531700854546,55505.68002308553,0.0,55505.68002308553
2025-07-17,6000.0,6000.0,88915.17648407721,0.0,19709.0881986252,15964.361440886412,12450.033659671764,56815.7058323144,0.0,56815.7058323144
2025-07-18,6000.0,6000.0,48565.70065180025,0.0,14758.700440217759,11954.547356576382,14487.299468158879,30333.415642550426,0.0,30333.415642550426
2025-07-19,6000.0,6000.0,46057.1919105607,0.0,15329.175603661248,12416.63223896561,15961.829495865062,28018.474937440613,0.0,28018.474937440613
2025-07-20,6000.0,6000.0,81318.93728276725,0.0,19483.741793043897,15781.830852365554,5527.048125422234,51156.54975161489,0.0,51156.54975161489
2025-07-21,6000.0,6000.0,82152.22033490521,0.0,20195.45337607531,16358.31723462099,4325.3348434509,52347.79732632848,0.0,52347.79732632848
2025-07-22,6000.0,6000.0,86592.9767730156,0.0,20343.174996442485,16477.971747118412,8932.62890702487,56350.78425917329,0.0,56350.78425917329
2025-07-23,6000.0,6000.0,80173.44691585033,0.0,19560.081852121006,15843.666300218016,2240.4842472806745,52114.71324699129,0.0,52114.71324699129
2025-07-24,6000.0,6000.0,77230.52777327687,835.0917540111286,21016.233807700424,17023.149384237342,456.0631038249291,48816.13356603519,2884.6616904776333,51700.79525651282
2025-07-25,6000.0,6000.0,41680.267730858526,0.0,16697.014410541833,13524.581672538883,12002.515426188907,24424.454508356896,0.0,24424.454508356896
2025-07-26,6000.0,6000.0,41833.846002042366,34.623377974774186,16718.815186683867,13542.240301213928,10222.80292788054,24667.583867222,64.27830121016828,24731.86216843217
2025-07-27,6000.0,6000.0,79198.3056434342,650.2571422567357,22716.345556806424,18400.239901013203,1847.2673298977165,49530.97391987297,2320.61193318002,51851.585853052995
2025-07-28,6000.0,6000.0,79446.41670627444,3205.8809744518626,22207.627168851417,17988.17800676965,477.9712853112004,50390.20225980917,8889.55606177514,59279.75832158431
2025-07-29,6000.0,6000.0,86376.04637119698,0.0,20418.139691375647,16538.69315001428,6427.353879835622,55947.30896892465,0.0,55947.30896892465
2025-07-30,6000.0,6000.0,79709.11285549478,403.9326789394092,20318.387071826146,16457.89352817917,2149.29794078722,51328.80152922368,860.8087239816412,52189.61025320532
2025-07-31,6000.0,6000.0,76298.08785985521,2984.683956525818,21687.892647840858,17567.193044751097,467.07594662460446,48165.311309030905,8562.070711135839,56727.38202016674
2025-08-01,6000.0,6000.0,39893.12782343797,362.26692342315187,16459.26658030096,13332.005930043773,15876.774429937273,23033.72185731085,2154.580501388538,25188.302358699388
2025-08-02,6000.0,6000.0,39927.11436711563,180.16579505967513,16505.950901784883,13369.820230445759,16044.124557502852,23362.311310729958,1061.337012318472,24423.64832304843
2025-08-03,6000.0,6000.0,75236.66030573526,1047.6389218414338,18361.002236494653,14872.411811560673,9956.228819309388,47073.08041887884,4281.930991499895,51355.011410378735
2025-08-04,6000.0,6000.0,74777.02015601739,0.0,18556.776343405814,15030.988838158712,5835.577567436962,47696.388064977975,0.0,47696.388064977975
2025-08-05,6000.0,6000.0,74706.41939094014,315.4083017990707,18976.047517901017,15370.59848949982,6264.068931004682,47491.58023777779,706.266317661371,48197.84655543916
2025-08-06,6000.0,6000.0,67983.27202975481,3856.1303472899694,19292.55614370296,15626.970476399396,59.41744307454837,43342.53208002734,12304.995234115882,55647.527314143226
2025-08-07,6000.0,6000.0,66844.68732054786,1265.6881461335677,20922.10657376005,16946.906324745643,747.189967667023,42804.37320076458,4112.5820618757625,46916.955262640346
2025-08-08,6000.0,6000.0,37681.71736526139,1177.924552140483,16622.23793774693,13464.012729575017,19926.245459229962,21497.472963750955,4791.4864797086275,26288.959443459582
2025-08-09,6000.0,6000.0,36800.567804431026,2501.0722840021454,16118.065127230091,13055.632753056374,17317.278714259453,21194.624778179357,7803.372333007866,28997.997111187222
2025-08-10,6000.0,6000.0,66729.90256033374,2360.996082382714,18847.80358307933,15266.720902294252,205.1969119313659,42606.85667857823,7718.277139569125,50325.133818147355
2025-08-11,6000.0,6000.0,69479.55320094404,92.66330932656888,20279.68469095566,16426.544599674082,1157.8230856556954,44699.4582242005,624.7048275575778,45324.16305175808
2025-08-12,6000.0,6000.0,65327.627159935524,6092.040951239136,19169.903189574783,15527.621583555581,16.84285515545548,42231.054266851854,16792.10056819266,59023.154835044515
2025-08-13,6000.0,6000.0,68977.49810132463,952.720691090338,18215.443884703065,14754.509546609483,348.30500432139297,45265.16141571495,2005.0678262532176,47270.22924196817
2025-08-14,6000.0,6000.0,65931.98331759055,4406.361364389012,21277.759627289757,17234.985298104708,369.27936946118166,42180.64095158479,13002.829667384794,55183.470618969586
